Metric,Value
--- MACRO RECOMMENDATIONS ---,
**CFM (Crypto)**,**10%** | Stable — elevated fragility
**VISA Ações (Equities)**,**30%** | Held — cycle watch
**Other / Preservation**,"**60%** | Cash, USD, Gold"
--- REAL ESTATE SUMMARY ---,
**Total Properties**,12
**Properties with Area Data**,10
**Total Area (m²)**,"1,158"
**Apartments**,5
**Houses (Casas)**,3
**Parking Spaces**,2
**Land (Terreno)**,1
**Total Market Value (R$)**,"5,518,260.00"
**Total Venal Value 2025 (R$)**,"651,171.53"
**Total Tax Assessment (R$)**,"708,444.00"
--- LIQUIDITY POSITION ---,
Cash (BRL),"R$ 1.900.000,00"
